Dataset,Experimental time (h),Raw analysis time (h),Raw frame index,Cell occupancy (%),Cell occupancy SD (%),EPS coverage (%),EPS coverage SD (%),Cells encased by EPS (%),Cells encased SD (%),Mean EPS intensity (a.u.),Mean EPS intensity SD,Integrated EPS intensity,Integrated EPS intensity SD,EPS-positive area (pixels),EPS-positive area SD (pixels),Measurement context
24-80 h,59.63636363636363,28.0,56,57.90170449333415,15.087815190091256,79.6169287097367,15.275431899860402,81.31945324114419,14.367670103415824,10353.24177933272,2358.0396171084612,31526323278.0,17893825697.96256,2891963.2,962681.95961683,3D chamber; 2D image analysis
24-80 h,60.27272727272727,28.5,57,58.84076680222603,14.785170965639871,81.57438995800763,14.635507253385542,82.93485706003682,13.879217119603219,10499.421226184548,2532.982982254543,33074227003.6,18371602290.623276,2995244.6,947783.9857160491,3D chamber; 2D image analysis
24-80 h,60.90909090909091,29.0,58,59.266503141817516,15.067205077362347,83.4162413087676,13.680553310572556,84.80786244145732,13.11033688386611,10729.225045400719,2794.2090173939964,34767797724.2,19129951242.928753,3081404.0,911106.680737223,3D chamber; 2D image analysis
24-80 h,61.54545454545455,29.5,59,59.78511802837574,15.093894685883926,85.12902861534477,12.909332190987628,86.67952799972099,11.724458410886237,10936.067337845792,3014.280769647329,36427745489.6,19670652135.19497,3172593.8,869304.5555852103,3D chamber; 2D image analysis
24-80 h,62.18181818181818,30.0,60,60.10058020425636,12.450245786317634,86.37877922734397,12.509642207466557,88.12916876639079,11.012349406710875,11154.327030644647,3222.298619186897,38093462012.0,20215224471.930824,3258472.0,830803.9510248492,3D chamber; 2D image analysis
24-80 h,62.81818181818182,30.5,61,60.85330253944472,13.45753585181414,87.69628222420549,11.803575740074033,88.8891919715921,10.656703153238691,11407.114553966192,3455.7998127513206,39841917344.2,20794132929.70752,3339044.6,779081.358108253,3D chamber; 2D image analysis
24-80 h,63.45454545454545,31.0,62,62.50698022413162,12.053738347139488,88.61290037090278,10.901107371150317,90.03416767861574,9.5222942212991,11648.775328624508,3599.180556239689,41351024651.0,21064472627.525425,3401856.4,727483.1625709973,3D chamber; 2D image analysis
24-80 h,64.0909090909091,31.5,63,62.043514363686405,9.7791761543833,89.53712308954066,10.04952915338055,90.60860410594913,8.991762522814735,11955.36492389131,3806.8131032058327,43167176022.0,21549913995.545757,3468493.0,666580.9456063831,3D chamber; 2D image analysis
24-80 h,64.72727272727272,32.0,64,63.06583292563601,11.198204229874085,90.3039293311181,9.27561315771345,91.54278099785759,7.96926331988012,12169.948483643664,3953.803823392127,44411379447.0,21943879476.666122,3509236.8,627016.850267758,3D chamber; 2D image analysis
24-80 h,65.36363636363637,32.5,65,63.32741216670744,11.91852962162816,90.96131406912858,8.628564035734826,91.94494159673062,7.662397456805086,12418.027089236806,4063.773932631664,45697917136.0,22242155014.228302,3544372.4,595170.0208984824,3D chamber; 2D image analysis
24-80 h,66.0,33.0,66,62.019501628241194,10.096864736650364,91.47364300309307,8.169764270867837,92.41583559472943,7.124405716942647,12591.834925195644,4174.25010946271,46708766726.4,22496093710.280037,3577577.8,563272.4815355354,3D chamber; 2D image analysis
24-80 h,66.63636363636363,33.5,67,63.24361603320694,10.757366811578153,92.03719883418162,7.7445512226393864,93.03444066555602,6.5497610504879376,12741.876704527302,4293.9791406972645,47733952925.2,22696010882.833206,3620447.0,526334.4089331421,3D chamber; 2D image analysis
24-80 h,67.27272727272728,34.0,68,61.12891389432485,8.916642566916911,92.42920859340356,7.545703119928684,93.28253999814898,6.659524043233162,12849.33484302834,4303.527600162029,48560042892.0,22438712917.95852,3663525.4,493288.96789741813,3D chamber; 2D image analysis
